name,category,piston,breaks_water,stable,spawn_hostile,spawn_friendly,solid,conductive,height,height_note,width,width_note,falls,flammable,notes,id
Tripwire (string),Redstone Components,Breaks,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,0,,FALSE,FALSE,Needs a solid block below; connects between two Tripwire Hooks.,tripwire-string
Observer,Redstone Components,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,16,,16,,FALSE,FALSE,,observer
Note Block,Redstone Components,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,"Purely blockstate-based (no stored NBT) — freely movable, unlike Jukebox.",note-block
Piston / Sticky Piston (retracted),Redstone Components,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,16,,16,,FALSE,FALSE,"Movable like a normal block while retracted. The extended piston, its Piston Head, and the transient 'Moving Piston' block are separate immovable technical blocks that only exist mid-animation.",piston-sticky-piston-retracted
Dropper / Dispenser,Redstone Components,Immovable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,"Stores items (tile entity) — blocks piston extension entirely, like a chest.",dropper-dispenser
Hopper,Redstone Components,Immovable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,16,,16,,FALSE,FALSE,Stores items — blocks piston extension entirely. Funnel-shaped top with a hole in the middle — explicitly named as not a valid spawn surface.,hopper
Target Block,Redstone Components,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,TRUE,,target-block
Lodestone,Redstone Components,Immovable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,Blocks piston extension entirely.,lodestone
Calibrated Sculk Sensor / Sculk Sensor / Sculk Shrieker / Sculk Catalyst,Redstone Components,Immovable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,Blocks piston extension entirely.,calibrated-sculk-sensor-sculk-sensor-sculk-shrieker-sculk-catalyst
Daylight Detector,Redstone Components,Movable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,6,,16,,FALSE,FALSE,"Shorter than a full block (6/16px); doesn't need a supporting block. Domed sensor top, not a flat full face.",daylight-detector
Crafter,Redstone Components,Immovable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,Stores items (tile entity) — blocks piston extension entirely.,crafter
Redstone Lamp,Redstone Components,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,redstone-lamp
TNT,Redstone Components,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,16,,16,,FALSE,FALSE,Sits like a normal block; becomes a separate falling/flying 'Primed TNT' entity only once ignited. Ignites instantly and detonates rather than smoldering like a flammable block.,tnt
Slime Block,Redstone Components,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,"Sticky — dragging it with a piston also drags adjacent movable blocks with it. Bounces entities. Translucent, but explicitly named as an allowed mob-spawn surface despite not being opaque.",slime-block
Honey Block,Redstone Components,Movable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,15,Collision box is 14×14×15px (width×length×height) — not a full 16px cube. The 15px height (1px shy of full) is why a block placed on top sits slightly low.,14,"Horizontal footprint is 14×14px (1px inset on each side), which is why arrows and thrown items can slip through the 2px gap between adjacent honey blocks.",FALSE,FALSE,Sticky like Slime Block (the two don't stick to each other). Slows movement and negates fall damage on contact. Translucent — not a valid spawn surface.,honey-block
"Rails (Regular, Powered, Detector, Activator)",Rails,Movable,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,0,,FALSE,FALSE,"Special piston exception, like Carpet — normally relocates intact and re-orients itself instead of breaking, as long as it keeps a full-faced support block. Destroyed by flowing water OR flowing lava. Rare edge cases with perpendicular pistons can still break it.",rails-regular-powered-detector-activator
Grass & Fern (short),Plants & Crops,Breaks,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,0,,FALSE,FALSE,"Needs Grass Block, Dirt, Coarse Dirt, Podzol, or Mycelium below.",grass-fern-short
Tall Grass & Large Fern (2-block tall),Plants & Crops,Breaks,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,0,,FALSE,FALSE,Each half is a separate block state; needs the grass-type block below.,tall-grass-large-fern-2-block-tall
"Small Flowers (Dandelion, Poppy, Tulips, Orchid, Allium, Azure Bluet, Oxeye Daisy, Cornflower, Lily of the Valley, Wither Rose, Torchflower, Eyeblossom)",Plants & Crops,Breaks,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,0,,FALSE,FALSE,Needs a dirt/grass/farmland-type block below (Wither Rose also grows on Nether soil/Soul Sand; it damages nearby entities).,small-flowers-dandelion-poppy-tulips-orchid-allium-azure-bluet-oxeye-daisy-cornflower-lily-of-the-valley-wither-rose-torchflower-eyeblossom
"Tall Flowers (Sunflower, Lilac, Rose Bush, Peony, Pitcher Plant)",Plants & Crops,Breaks,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,0,,FALSE,FALSE,Two-block-tall; each half is a separate block state.,tall-flowers-sunflower-lilac-rose-bush-peony-pitcher-plant
"Crops (Wheat, Carrots, Potatoes, Beetroot, Torchflower Crop, Pitcher Crop)",Plants & Crops,Breaks,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,0,,FALSE,FALSE,Needs tilled Farmland below.,crops-wheat-carrots-potatoes-beetroot-torchflower-crop-pitcher-crop
Nether Wart,Plants & Crops,Breaks,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,0,,FALSE,FALSE,Needs Soul Sand or Soul Soil below — no tilling required.,nether-wart
Pumpkin & Melon Stems (+ Attached variants),Plants & Crops,Breaks,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,0,,FALSE,FALSE,Needs Farmland below; grows a Pumpkin/Melon on an adjacent block.,pumpkin-melon-stems-attached-variants
Sweet Berry Bush,Plants & Crops,Breaks,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,0,,FALSE,FALSE,Damages entities walking through it (except foxes/bees); needs a dirt/grass-type block below.,sweet-berry-bush
Sugar Cane,Plants & Crops,Breaks,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,0,,FALSE,FALSE,"Needs Sand/Dirt/Grass-type block directly adjacent to water, or another Sugar Cane below.",sugar-cane
"Bamboo (+ Bamboo Sapling, Bamboo Shoot)",Plants & Crops,Breaks,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,16,,3,"Slim 3×16×3px stalk — much narrower than its leafy interaction box (6px, or 10px for large leaves).",FALSE,TRUE,"Unlike most plants, Bamboo IS solid with real collision. Needs Dirt/Sand/Mud/Gravel-type block or Bamboo below.",bamboo-bamboo-sapling
Cactus,Plants & Crops,Breaks,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,15,,14,"14×15×14px collision box, inset 1px from a full block on all four sides (same 14px footprint as a Honey Block).",FALSE,FALSE,Needs Sand/Red Sand/another Cactus below with no solid block on any of its 4 sides. Damages entities that touch it.,cactus
Lily Pad,Plants & Crops,Breaks,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,Precisely 1.5px tall; rounded up to the nearest whole pixel here.,14,,FALSE,FALSE,"Must rest on Water or Ice. 14×1.5×14px collision box, inset ~1px on the four side faces. Players and most mobs can walk on top without sinking, despite the thin hitbox.",lily-pad
"Small Mushrooms (Red, Brown)",Plants & Crops,Breaks,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,0,,FALSE,FALSE,Needs an opaque block below; grows only at light level ≤ 12 (or any light on Mycelium/Podzol/Nylium).,small-mushrooms-red-brown
"Mushroom Blocks (Red/Brown Huge Mushroom, all cap/stem/pore variants + Mushroom Stem)",Plants & Crops,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,mushroom-blocks-red-brown-huge-mushroom-all-cap-stem-pore-variants-mushroom-stem
Crimson Fungus / Warped Fungus,Plants & Crops,Breaks,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,0,,FALSE,FALSE,"Nether equivalent of a mushroom; needs Nylium, Netherrack, Soul Soil, or Mycelium below.",crimson-fungus-warped-fungus
Crimson Roots / Warped Roots,Plants & Crops,Breaks,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,0,,FALSE,FALSE,Purely decorative Nether equivalent of grass.,crimson-roots-warped-roots
Weeping Vines (+ Plant) / Twisting Vines (+ Plant),Plants & Crops,Breaks,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,0,,FALSE,FALSE,Weeping Vines hang from Nylium/Netherrack ceilings; Twisting Vines grow upward from the floor.,weeping-vines-plant-twisting-vines-plant
Vines,Plants & Crops,Breaks,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,0,,FALSE,TRUE,Attaches to and spreads across solid block faces; no player collision.,vines
"Cave Vines (+ Plant, with/without Glow Berries)",Plants & Crops,Breaks,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,0,,FALSE,FALSE,Hangs downward from a ceiling block; each segment needs the block/vine above it.,cave-vines-plant-with-without-glow-berries
Glow Lichen,Plants & Crops,Breaks,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,0,,FALSE,FALSE,Attaches to any adjacent block face(s) it was grown/placed on.,glow-lichen
Hanging Roots,Plants & Crops,Breaks,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,0,,FALSE,FALSE,Hangs from a solid block above (found under Lush Caves).,hanging-roots
Big Dripleaf (+ Stem),Plants & Crops,Breaks,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,4,"The leaf pad's real collision is only 4px tall when stable, 2px mid-tilt, and empty (no collision at all) at full tilt — the supporting stem itself has zero collision.",16,,FALSE,FALSE,"Tilts and briefly drops entities standing on it. Needs a solid block, its own Stem, or another Big Dripleaf below.",big-dripleaf-stem
Small Dripleaf,Plants & Crops,Breaks,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,0,,FALSE,FALSE,Needs Moss Block or a similar dirt-type block below; 2 blocks tall.,small-dripleaf
Azalea (+ Flowering Azalea),Plants & Crops,Breaks,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,16,,16,,FALSE,FALSE,"Needs a dirt-type, Moss, or Clay block below. The bushy canopy in the upper half reaches all 4 edges and the full top of the block, giving it a full 16px-tall collision box overall, even though the lower half is just a thin 4px×4px stem.",azalea-flowering-azalea
Chorus Plant (+ Chorus Flower),Plants & Crops,Breaks,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,16,,16,,FALSE,FALSE,Grows only on/from End Stone; each segment needs a connected Chorus Plant/End Stone below it.,chorus-plant-chorus-flower
Pointed Dripstone,Plants & Crops,Breaks,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,16,Height varies with its 'thickness' state (tip/frustum/base/merge),6,"Footprint varies by 'thickness' state (tip/frustum/middle/base/merge): as narrow as ~6px at a tip/merge, widening toward ~12px+ at a base segment. 6px shown here for the common tip/merge stages.",TRUE,FALSE,Grows from a Dripstone Block on the floor (stalagmite) or ceiling (stalactite). Deals fall damage; also a gravity block once unsupported.,pointed-dripstone
Water (source + flowing),Liquids,Immovable,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,,0,,FALSE,FALSE,"A piston can't push liquid — it only obstructs/displaces it. Not itself a mob-spawn surface (aquatic mobs spawn IN it, not on it).",water-source-flowing
Lava (source + flowing),Liquids,Immovable,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,,0,,FALSE,FALSE,"Damages/ignites entities on contact. Flowing lava destroys many of the same items flowing water does (rails, redstone dust, etc.), plus sets flammable blocks alight.",lava-source-flowing
Powder Snow,Liquids,Movable,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,16,,16,,FALSE,FALSE,"Entities sink into and can suffocate in it unless wearing leather boots (or are immune, e.g. rabbits/foxes); freezes exposed entities over time. Obtained/placed via bucket.",powder-snow
Pumpkin / Carved Pumpkin / Jack o'Lantern,Functional Blocks,Breaks,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,"In Java Edition, Pumpkins / Carved Pumpkins / Jack o'Lanterns break and drop when pushed by a piston (the mechanic piston pumpkin/melon farms rely on); movable in Bedrock.",pumpkin-carved-pumpkin-jack-o-lantern
Melon,Functional Blocks,Breaks,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,"In Java Edition, a Melon breaks and drops when pushed by a piston; movable in Bedrock.",melon
Composter,Functional Blocks,Movable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,16,,16,,FALSE,FALSE,"Slightly shorter-looking due to the open basin, but the collision box is a full 16px cube (like a cauldron/hopper) — you cannot fall into it by walking over the top. No stored NBT that blocks pistons — movable normally. Not opaque, so it's not a valid spawn surface.",composter
Cauldron (+ Water/Lava/Powder Snow variants),Functional Blocks,Movable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,16,,16,,FALSE,FALSE,"Looks like a hollow basin with ~6px walls, but the actual collision box is a full 16px cube — you walk straight over the top instead of falling in, the same trick used by the Composter and Hopper. Interaction (filling/emptying) still targets the inner basin via a separate auxiliary hitbox.",cauldron-water-lava-powder-snow-variants
"Chain (Iron + Copper, all oxidation stages)",Functional Blocks,Movable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,16,,3,"Thin ~3px×3px vertical link, despite occupying the full 16px height of the block.",FALSE,FALSE,"Thin vertical connector; unlike a Lantern it can float freely without support. Renamed from 'chain' to 'iron_chain' in 1.21.9, which also added the oxidizing Copper Chain (same properties). Thin ~3px link, nowhere near a full top face.",chain
Cobweb,Functional Blocks,Breaks,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,,0,,FALSE,FALSE,"Has NO collision box at all in Java Edition (officially listed as noCollision) — entities pass straight through and are merely slowed by a velocity penalty, they don't stand on or in it. Unlike most attachment blocks, Cobweb needs no support and breaks (rather than relocates) when pushed by a piston. Mobs can still spawn INSIDE a cobweb if the block below qualifies.",cobweb
Dragon Egg,Functional Blocks,Breaks,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,16,,14,,TRUE,FALSE,"Teleports away when clicked. Breaks (pops as an item) when pushed by a piston, despite needing no support — and is also gravity-affected. 14×16×14px collision box, inset ~1px on the four side faces only.",dragon-egg
Turtle Egg (1–4 cluster),Functional Blocks,Breaks,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,7,,9,"~9px footprint for the egg cluster itself (not inset like a full block); multi-egg clusters share this same footprint, just with more eggs modeled inside it.",FALSE,FALSE,Needs Sand or Red Sand below.,turtle-egg-1-4-cluster
Scaffolding,Functional Blocks,Breaks,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,16,,16,,TRUE,TRUE,"Gravity-affected, but only falls once more than 6 blocks (through connected scaffolding) from the nearest anchor. Breaks and drops when pushed by a piston unless it is in a falling state. Players can descend by holding crouch.",scaffolding
Ladder,Functional Blocks,Breaks,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,16,,3,Very thin (~3px) panel flush against the wall it's mounted on.,FALSE,TRUE,"Attaches to the side of a solid block. Solid but thin; lets entities climb. Can be waterlogged, so it survives water.",ladder
End Rod,Functional Blocks,Breaks,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,16,,4,"Thin ~4px×4px rod along its axis (unlike a Lantern's cage-like footprint, the rod itself has no wider cap in the collision box).",FALSE,FALSE,"Attaches to the block face it's placed against, along its own axis.",end-rod
Bed (all 16 colors),Functional Blocks,Breaks,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,9,,16,,FALSE,FALSE,"Two-block object (head + foot). Breaks and drops when pushed by a piston. Explodes if used in the Nether or End. Low-profile mattress + leg shape, not a flat full-height top.",bed-all-16-colors
"Mob Heads (Skeleton, Wither Skeleton, Zombie, Creeper, Piglin, Dragon, Player)",Functional Blocks,Breaks,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,8,,8,"Head-shaped footprint, roughly 8×8px, regardless of mounting orientation.",FALSE,FALSE,Explicitly washed away by flowing water. Needs a solid block below (floor-standing) or behind (wall-mounted).,mob-heads-skeleton-wither-skeleton-zombie-creeper-piglin-dragon-player
Flower Pot (+ potted plants),Functional Blocks,Breaks,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,6,,6,,FALSE,FALSE,Has a real (if small) 6×6×6px collision box — you bump into it rather than passing through. Needs a solid block below; explicitly washed away by flowing water.,flower-pot-potted-plants
Cake,Functional Blocks,Breaks,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,8,,14,14×8×14px collision box — inset 1px from a full block on each side.,FALSE,FALSE,Needs a solid block below.,cake
"Candle (1–4 stacked, all colors + uncolored)",Functional Blocks,Breaks,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,6,,2,"Thin ~2px×2px wick cluster at the center of the block, regardless of how many candles (1–4) are stacked.",FALSE,FALSE,Needs a solid block below.,candle-1-4-stacked-all-colors-uncolored
Decorated Pot,Functional Blocks,Breaks,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,16,,14,"14×16×14px collision box — full block height, inset ~1px on the four side faces only.",FALSE,FALSE,"Holds a single item (block entity). Breaks and drops when pushed by a piston, and shatters into sherds when hit by a projectile. Full-height collision box despite the open neck at the top.",decorated-pot
"Anvil (+ Chipped, Damaged)",Functional Blocks (Immovable),Immovable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,16,,12,"Non-cubic, rotation-dependent footprint: ~12px along the short axis, a full 16px along the long axis (the 'feet' stick out to the block edges in one direction).",TRUE,FALSE,"A placed Anvil blocks piston extension entirely (Java Edition). A FALLING anvil mid-drop is a separate entity that CAN be pushed by a piston (but not pulled). Non-cubic footprint. Non-cubic anvil shape (narrow base/wide top varies by axis), not a full flat top.",anvil-chipped-damaged
Grindstone,Functional Blocks (Immovable),Immovable,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,16,,12,Angled frame-and-wheel shape; overall footprint is ~12px×16px depending on axis — 12px is the narrower representative dimension.,FALSE,FALSE,"Angled, non-cubic shape, but solid. Non-cubic frame-and-wheel shape (partial widths on every face) — not a full flat top.",grindstone
Enchanting Table,Functional Blocks (Immovable),Immovable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,12,,16,,FALSE,FALSE,Shorter than a full block and not opaque on top.,enchanting-table
Beacon,Functional Blocks (Immovable),Immovable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,16,,16,,FALSE,FALSE,Transparent (light and its beam pass through) despite being solid.,beacon
Furnace / Blast Furnace / Smoker,Functional Blocks (Immovable),Immovable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,Stores items/fuel — blocks piston extension entirely.,furnace-blast-furnace-smoker
Chest / Trapped Chest,Functional Blocks (Immovable),Immovable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,14,,14,,FALSE,FALSE,"Collision box is a 14×14×14px cube, inset ~1px from a full block on every side (not a full 16×16×16). Stores items — blocks piston extension entirely. A double chest separates into two singles if forced apart. Not a valid spawn surface.",chest-trapped-chest
Ender Chest,Functional Blocks (Immovable),Immovable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,14,,14,,FALSE,FALSE,"Collision box is a 14×14×14px cube, inset ~1px from a full block on every side (not a full 16×16×16) — same shape as a regular Chest. Blocks piston extension entirely. Not a valid spawn surface.",ender-chest
Barrel,Functional Blocks (Immovable),Immovable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,Stores items — blocks piston extension entirely.,barrel
Lectern,Functional Blocks (Immovable),Immovable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,14,Base plate collision is only ~2px tall; the slanted reading-stand column brings the effective collision up to ~14px on the tall side. Not a flat full-height top.,16,,FALSE,FALSE,"Holds a book (tile entity) — blocks piston extension entirely. Sloped reading-stand top, not a flat face.",lectern
Beehive / Bee Nest,Functional Blocks (Immovable),Immovable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,TRUE,Holds bees/honey (tile entity) — blocks piston extension entirely. Flammable (added in snapshot 19w35a/19w42a) despite storing bees/honey.,beehive-bee-nest
Jukebox,Functional Blocks (Immovable),Immovable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,Holds an inserted disc — blocks piston extension entirely.,jukebox
Bell,Functional Blocks (Immovable),Breaks,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,16,,8,"16px along the axis the bell frame faces, but only ~8px thick perpendicular to that — 8px is the representative 'thin' dimension, matching how Fences/Walls are recorded.",FALSE,FALSE,"Mounted on a floor, wall (single/double), or ceiling. Breaks and drops when pushed by a piston. Bell hangs within an open frame, not a flat full top.",bell
"Lantern (+ Soul Lantern, Copper Lantern)",Functional Blocks (Immovable),Breaks,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,9,Same 9px total height whether hanging from a block above or sitting on a block below — only the vertical position within the block shifts.,6,"Cage-shaped footprint, roughly 6×7×6px, whether hanging from above or sitting below.",FALSE,FALSE,"Hangs from a block above, or sits on a block below. Breaks and drops when pushed by a piston. Open cage shape, not a flat full top. Copper Lantern (added 1.21.9) oxidizes but shares these properties.",lantern-soul-lantern
Campfire (+ Soul Campfire),Functional Blocks (Immovable),Immovable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,7,,16,,FALSE,FALSE,"Holds up to 4 cooking items (tile entity) — blocks piston extension entirely. Water extinguishes it (turns unlit) without destroying the block. Log/fire pile shape, not a flat full top.",campfire-soul-campfire
Brewing Stand,Functional Blocks (Immovable),Immovable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,14,,14,,FALSE,FALSE,"Holds potion ingredients/fuel (tile entity) — blocks piston extension entirely. Collision box is a 14px-tall, 14px-wide union of the thin base plate (2px) and the central rod (up to 14px) — taller overall than it first appears, though most of that footprint is a thin 2px×2px column.",brewing-stand
Barrier,Immovable / Technical,Immovable,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,16,,16,,FALSE,FALSE,Invisible in survival. Solid and blocks piston extension.,barrier
"Command Block (+ Chain, Repeating)",Immovable / Technical,Immovable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,command-block-chain-repeating
Structure Block / Jigsaw Block,Immovable / Technical,Immovable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,structure-block-jigsaw-block
Structure Void,Immovable / Technical,Breaks,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,,0,,FALSE,FALSE,No collision; used as an 'eraser' inside structure templates. Breaks when pushed by a piston in Java Edition.,structure-void
Light Block,Immovable / Technical,Immovable,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,,0,,FALSE,FALSE,"Invisible light-level block, obtainable via commands/creative inventory.",light-block
Vault,Immovable / Technical,Immovable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,vault
Trial Spawner,Immovable / Technical,Immovable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,16,,16,,FALSE,FALSE,"Like Monster Spawner, spawns its own mobs via special line-of-sight logic around itself, not via the normal top-surface rule.",trial-spawner
Monster Spawner,Immovable / Technical,Immovable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,16,,16,,FALSE,FALSE,"Spawns mobs INSIDE its own space via unique spawner logic, not on top of it via normal surface rules.",monster-spawner
Creaking Heart,Immovable / Technical,Immovable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,creaking-heart
Test Block / Test Instance Block,Immovable / Technical,Immovable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,"Creator/testing tool blocks, obtainable only via commands.",test-block-test-instance-block
Nether Portal,Immovable / Technical,Immovable,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,,0,,FALSE,FALSE,No collision; teleports entities that touch it.,nether-portal
Piston Head / Moving Piston (technical states),Immovable / Technical,Immovable,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,16,,16,,FALSE,FALSE,Transient blocks that exist only mid-animation while a piston is extended; not independently obtainable.,piston-head-moving-piston-technical-states
"Sandstone / Red Sandstone (+ Chiseled, Cut, Smooth)",Stone & Mineral,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,Full opaque building blocks; both colors and all Chiseled/Cut/Smooth variants share these properties.,sandstone-red-sandstone-chiseled-cut-smooth
Bricks,Stone & Mineral,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,The plain clay Bricks block (crafted from four Brick items).,bricks
"Infested Blocks (Stone, Cobblestone, Stone Bricks +Mossy/Cracked/Chiseled, Deepslate)",Stone & Mineral,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,"Identical to their host block for these properties, but release a Silverfish when broken and are mined much faster. Cannot be obtained with Silk Touch.",infested-blocks-stone-cobblestone-stone-bricks-mossy-cracked-chiseled-deepslate
Pale Moss Block,Stone & Mineral,Breaks,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,"Full opaque block (Pale Garden). Like Moss Block, it breaks and drops when pushed by a piston in Java Edition (movable in Bedrock).",pale-moss-block
Muddy Mangrove Roots,Dirt & Organic Terrain,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,"Full opaque block, unlike the non-opaque Mangrove Roots it is crafted from.",muddy-mangrove-roots
Mangrove Roots,Wood,Movable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,16,,16,,FALSE,TRUE,"A full cube but non-opaque (doesn't suffocate mobs), so it's not a valid spawn surface and doesn't conduct redstone. Can be waterlogged despite being a full block; flammable.",mangrove-roots
Shelf (all wood types),Wood,Immovable,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,16,,5,Wall-mounted panel — 16px wide and tall but only 5px deep.,FALSE,TRUE,"Stores up to 3 item stacks (block entity) — blocks piston extension entirely, like a chest. When powered by redstone, interacting swaps the shelf's contents with the player's hotbar; adjacent powered shelves connect. Added in 1.21.9 (The Copper Age). Crimson and Warped Shelves are the exception — Nether wood is not flammable.",shelf-all-wood-types
Tinted Glass,Dyed Blocks,Movable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,16,,16,,FALSE,FALSE,Full cube that blocks ALL light (unlike regular Glass) yet is still non-opaque for spawning/redstone — mobs can't spawn on it and it doesn't conduct.,tinted-glass
"Copper Golem Statue (all oxidation stages, waxed)",Copper,Breaks,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,14,,10,"Statue shape ~10×14×10px, not a full cube.",FALSE,FALSE,Decorative poseable statue — cycles through 4 poses when used. Breaks and drops when pushed by a piston; doesn't stick to slime/honey. Oxidizes over time and can be waxed. Added in 1.21.9.,copper-golem-statue-all-oxidation-stages-waxed
Dried Kelp Block,Ocean & Aquatic,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,TRUE,Full opaque block; flammable (burns away) and usable as furnace fuel.,dried-kelp-block
Hay Block,Functional Blocks,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,TRUE,Full opaque block; reduces fall damage for entities landing on it. Flammable. Rotatable pillar (axis states).,hay-block
